bar_idx,datetime,open,high,low,close,bar_volume,bar_ticks,bid_vol,ask_vol,volume,delta,delta_finish,max_delta,min_delta,cum_delta,trades,buy_trades,sell_trades,max_one_trade,avg_size,avg_buy_size,avg_sell_size,levels,poc_price,poc_volume,open_interest
10826,2026-08-06 01:52:00,4356.2,4356.2,4351.6,4352.5,192,189,111,79,192,-32,-32,-32,-32,-854,189,0,0,0,1.0159,0,0,40,4354.9,16,301568
10827,2026-08-06 01:53:00,4352.3,4352.6,4350.3,4351.7,209,196,118,91,209,-27,-27,-27,-27,-881,196,0,0,0,1.0663,0,0,24,4351.8,19,301568
10828,2026-08-06 01:54:00,4351.9,4351.9,4348.0,4348.2,52,52,32,20,52,-12,-12,-12,-12,-893,52,0,0,0,1,0,0,27,4348.7,5,301568
10829,2026-08-06 01:55:00,4348.2,4349.6,4347.5,4348.2,115,115,52,57,115,5,5,5,5,-888,115,0,0,0,1,0,0,22,4347.8,12,301568
10830,2026-08-06 01:56:00,4348.3,4349.3,4347.5,4347.9,87,76,46,40,87,-6,-6,-6,-6,-894,76,0,0,0,1.1447,0,0,18,4348.9,13,301568
10831,2026-08-06 01:57:00,4347.9,4347.9,4345.2,4346.3,75,72,42,30,75,-12,-12,-12,-12,-906,72,0,0,0,1.0417,0,0,22,4346.9,10,301568
10832,2026-08-06 01:58:00,4346.8,4348.4,4346.3,4347.5,63,62,17,45,63,28,28,28,28,-878,62,0,0,0,1.0161,0,0,20,4347.2,8,301568
10833,2026-08-06 01:59:00,4347.4,4348.7,4346.9,4346.9,55,44,28,25,55,-3,-3,-3,-3,-881,44,0,0,0,1.25,0,0,18,4348.1,20,301568
10834,2026-08-06 02:00:00,4346.7,4348.3,4344.0,4348.3,128,128,68,60,128,-8,-8,-8,-8,-889,128,0,0,0,1,0,0,38,4345.2,11,301568
10835,2026-08-06 02:01:00,4348.7,4351.0,4348.1,4350.5,161,130,62,93,161,31,31,31,31,-858,130,0,0,0,1.2385,0,0,28,4349.0,26,301568
10836,2026-08-06 02:02:00,4350.7,4351.1,4349.8,4350.6,66,65,23,34,66,11,11,11,11,-847,65,0,0,0,1.0154,0,0,13,4350.4,11,301568
10837,2026-08-06 02:03:00,4350.5,4353.2,4350.2,4353.2,82,80,29,44,82,15,15,15,15,-832,80,0,0,0,1.025,0,0,26,4351.4,16,301568
10838,2026-08-06 02:04:00,4353.0,4357.0,4352.8,4356.2,168,149,95,62,168,-33,-33,-33,-33,-865,149,0,0,0,1.1275,0,0,39,4355.1,18,301568
10839,2026-08-06 02:05:00,4357.0,4363.7,4357.0,4361.1,441,396,184,255,441,71,71,71,71,-794,396,0,0,0,1.1136,0,0,65,4358.9,20,301568
